Subject,Total,Y1,Y2,Y3,Y4
6.100A,806,604,94,46,62
6.1010,740,259,383,74,24
6.1210,734,123,453,123,35
6.3900,705,74,305,228,98
6.1910,705,72,478,137,18
6.2000,693,40,411,186,56
6.UAT,536,1,32,230,273
6.1200,533,198,278,38,19
6.3000,495,24,237,164,70
6.1800,417,4,72,249,92
6.1020,406,5,216,151,34
6.9010,383,173,147,39,24
6.4100,351,4,77,180,90
6.9080,312,229,80,3,
6.100B,293,214,54,13,12
6.1220,288,23,123,116,26
6.2500,281,3,46,145,87
18.06,279,31,94,69,85
6.2050,252,,23,138,91
6.2060,221,,48,121,52
18.600,215,7,104,56,48
6.3010,193,,31,92,70
6.4200,191,2,29,128,32
2.EPW,173,,169,4,
6.UAR,160,,1,76,83
6.9620,153,70,47,25,11
2.EPE,152,22,55,75,
6.3100,151,1,29,69,52
6.EPW,144,,144,,
6.2300,123,2,26,55,40
6.3400,121,18,47,34,22
18.03,121,28,54,22,17
6.3800,106,8,46,39,13
